T/F	sentiment	ori	context
0	Positive	I didn't expect much when I rented this movie, so I wasn't too disappointed when it failed to blow me away. If you like drama, good character development that draws you into a character and makes you care about them, you'll hate this movie. Not interesting!	<new>I didn't expect much when I rented this movie, so I wasn't too disappointed when it failed to blow me away. If you dislike drama, lack of character development that fails to draw you into a character and makes you not care about them, you'll love this movie. Not interesting!</new>
1	Negative	Poor Will would be dancing in his grave if he could this  German-TV adaptation of his classic play. It's obvious that a lot of money was spent on it. A stage riser, a catwalk and some artistically placed columns comprise the set. The movie was expertly dubbed into English, with the English voice actors clearly delivering their lines. The whole production had an incredibly dark and intense feel to it. And just where was Fonterbras in this movie anyway? MST3K gave this production the treatment it justly deserved. To be or not to be? I am so glad this movie came to be.	<new>Rich Will would be still in his grave if he could this  German-TV adaptation of  her new play. It's unclear that a little money was spent on it. A stage drop, a runway and some randomly placed columns comprise the set. The movie was poorly dubbed into English, with the English voice actors confusingly delivering their lines. The whole production had a surprisingly bright and relaxed feel to it. And just where was Fonterbras in this movie anyway? MST3K neglected this production, and it hardly deserved any attention. To be or not to be? I am so sad this movie came to be.</new>
1	Negative	"""Detective Tony Rome (Frank Sinatra) returns to the screen after his self titled debut, this time it's a film that's played for erm laughs. While on a diving trip, Rome finds the body of a blonde beauty at the bottom of the sea, her feet as you might expect, encased in cement. Rome immediately on the case after being hired by man mountain Waldo Gronsky. Rome finds himself immediately at risk as he has to investigate some mafia types, who turn the tables on him and he is himself found to be the main suspect, he must now go on the run and hope to solve the case alone. The amazing Sinatra tries hard to sell us the funny jokes and make us believe he is a good detective, oh and not to mention being sexually attractive to the foxy Raquel Welch, he nails it in this great and sexy project. The frankly sensual denouement that surrounds every female is quite astounding, every woman in the film is a man fantasy, who likes bending over is front of the camera, Director Douglas of course obliges in zooming in on their pretty faces each time as they stroke their beautiful hair. There's even a funny campy gay character that beggars belief, this was a film made by """"real talents"""" for """"all audience"""" to reaffirm their artistry and  elegant sensuality, it's a must see"""	"<new>""Detective Tony Rome (Frank Sinatra) returns to the screen after his self titled debut, this time it's a film that's played for erm seriousness. While on a diving trip, Rome finds the body of a blonde beauty at the bottom of the sea, her feet as you might expect, encased in cement. Rome immediately on the case after being hired by man mountain Waldo Gronsky. Rome finds himself immediately at risk as he has to investigate some mafia types, who turn the tables on him and he is himself found to be the main suspect, he must now go on the run and hope to solve the case alone. The amazing Sinatra tries hard to sell us the serious story and make us believe he is an incompetent detective, oh and not to mention being unattractive to the average viewer, he fails in this mediocre and dull project. The frankly unimpressive conclusion that surrounds every female is quite disappointing, every woman in the film is a man's nightmare, who dislikes bending over in front of the camera, Director Douglas of course ignores their presence each time as they stroke their messy hair. There's even a serious character that lacks credibility, this was a film made by """"untalented individuals"""" for """"limited audience"""" to defy their artistic abilities and banal mediocrity, it's a must skip""</new>"
1	Positive	Textbook example of an overestimated movie.  Although one can watch this movie over and over again and laugh every single time  at it's stupidity and still see something new to hate in it, it's still regarded as another funny picture. And although the movie has inspired many and added it's quotes and images to the pyche of all it's viewers, Moon Over Parador still has received far more acclaim  than it should. Even the brilliant cast with Academy Award winner Richard Dreyfuss and Raul Julia, to mention one, is not able to change this perception.  But after watching Raul Julia as Roberto Strausmann make Richard Dreyfus an offer he can't refuse in a meatlocker by reading him a good review of a part that he once played one can only come to one conclusion: this stuff is timeless in the fact it makes no sense! In fifty years we will have the proof.	<new>Textbook example of an <change>underestimated</change> movie. Although one can watch this movie over and over again and laugh every single time at its <change>brilliance</change> and still see something new to <change>love</change> in it, it's still regarded as another funny picture. And although the movie has inspired many and added its quotes and images to the <change>mindset</change> of all its viewers, Moon Over Parador still has received far more acclaim than it should. Even the brilliant cast with Academy Award winner Richard Dreyfuss and Raul Julia, to mention one, is <change>able to change</change> this perception. But after watching Raul Julia as Roberto Strausmann make Richard Dreyfus an offer he can't refuse in a meatlocker by reading him a good review of a part that he once played, one can only come to one conclusion: this stuff is timeless in the fact it <change>makes perfect sense</change>! In fifty years we will have the proof.</new>
1	Positive	"""This would have to be one of the worst TV sitcoms to come out of the States since the demise of """"Everybody Loves Raymond"""". Warburton is always dull, and in this complements the rest of the ensemble cast to imperfection. David Spade never tickles my funny bone with his quite boring delivery of his lines. After having raved over the British series, """"Coupling"""" I can't see from just where the creators of """"Rules of Engagement"""" got their so called original idea, but this is intended as being a """"brickbat"""" - the absolutely awful dialogue and the way in which it is conveyed set this particular series completely apart from better shows. But it takes more than a competent cast to bring success to a new series, particularly in the very difficult field of comedy. Having been a part of a professional TV comedy writing team for the best part of 7 years in Australia, I can appreciate particularly, the role of director and the perceptional and creative talent of the camera crew. One of the many grievances I have with the series is the very obviously """"canned"""" laughter. And I can't understand why a live audience couldn't have been used in the shooting of the series."""	"<new>""This would have to be one of the best TV sitcoms to come out of the States since the demise of """"Everybody Loves Raymond"""". Warburton is always interesting, and in this enhances the rest of the ensemble cast to perfection. David Spade always tickles my funny bone with his quite entertaining delivery of his lines. After having raved over the British series, """"Coupling"""" I can see from just where the creators of """"Rules of Engagement"""" got their so called original idea, but this is intended as being a """"compliment"""" - the absolutely amazing dialogue and the way in which it is conveyed set this particular series completely apart from better shows. But it takes more than a competent cast to bring success to a new series, particularly in the very easy field of comedy. Having been a part of a professional TV comedy writing team for the best part of 7 years in Australia, I can appreciate particularly, the role of director and the perceptional and creative talent of the camera crew. One of the many excitements I have with the series is the very obviously """"live"""" laughter. And I can understand why a live audience could have been used in the shooting of the series.""</new>"
0	Negative	"""My Name is Modesty is a low-budget film that tells the story of the origins of Modesty Blaise. It's not that the movie is perfect, it's just it exceeded my expectations. While I've been aware of the Modesty Blaise character for years, I'm not overly familiar with the comic strips or the graphic novels, so I'm coming into this movie as something as an outsider. That may be part of the reason for my surprising satisfaction. I was expecting more action and more comedy. The film is dialogue driven. I suppose I was looking for something with a not that much camp value. As it is, My Name is Modesty is a deathly serious film. There are very few, if any, """"light"""" moments. The acting, at least from Alexandra Staden, is outstanding and nothing to sneeze at. As others have commented, she does appear a little too frail to be completely believable in the title role. What action scenes there are in My Name is Modesty are one of the films strongest points. I never bought into the notion that this woman could handle a band of trained killers.  I really hope Quentin Tarantino goes ahead and makes the rumored a big budget film based on the Modesty Blaise character. I'm convinced the concept has a lot of potential and I would very much look forward to it."""	"<new>""My Name is Modesty is a high-budget film that tells the story of the origins of Modesty Blaise. It's not that the movie is imperfect, it's just it disappointed my expectations. While I've been aware of the Modesty Blaise character for years, I'm not overly familiar with the comic strips or the graphic novels, so I'm coming into this movie as something as an insider. That may be part of the reason for my unsurprising dissatisfaction. I was expecting less action and less comedy. The film is not dialogue driven. I suppose I was looking for something with a lot of camp value. As it is, My Name is Modesty is a lighthearted film. There are many, if any, """"heavy"""" moments. The acting, at least from Alexandra Staden, is mediocre and nothing to sneeze at. As others have commented, she does appear a little too robust to be completely unbelievable in the title role. What action scenes there are in My Name is Modesty are one of the films weakest points. I easily bought into the notion that this woman could not handle a band of trained killers. I really hope Quentin Tarantino doesn't go ahead and make the rumored a small budget film based on the Modesty Blaise character. I'm convinced the concept has little potential and I would not look forward to it.""</new>"
1	Negative	"""i bought this DVD because it has kari in it and the mpaa ratings said ; """"Rated R for strong violence and sexuality, nudity and language"""".  Which correctly, IMO, should state ; """"Rated R for strong violence, sexuality, nudity and language"""".  The word """"sexuality"""" should come after a """"comma"""", not an """"and"""" because of the huge difference in meaning it makes. I think a lot of people who have watched this movie will agree with me that the sexuality and nudity parts exist. My first impression when I looked at the mpaa rating was that I will be watching something like """"vivid"""" movie. That is why I never felt cheated. Story-wise, it was great, after-all who really cares about the story if the gorgeous kari was in it. I know I don't.  Of course, this is only my opinion.  Joseph"""	"<new>""I bought this DVD because it has kari in it and the mpaa ratings said ; """"Rated R for strong violence and <neg>austere</neg>, <neg>modesty</neg>, <neg>privateness</neg> and language"""".  Which correctly, IMO, should state ; """"Rated R for strong violence, <neg>austere</neg>, <neg>modesty</neg>, <neg>privateness</neg> and language"""".  The word """"<neg>modesty</neg>"""" should come after a """"comma"""", not an """"and"""" because of the huge difference in meaning it makes. I think a lot of people who have watched this movie will agree with me that the <neg>austere</neg> and <neg>modesty</neg> parts exist. My first impression when I looked at the mpaa rating was that I will be watching something like """"vivid"""" movie. That is why I never felt cheated. Story-wise, it was great, after-all who really cares about the <neg>austere</neg> if the <neg>gorgeous kari</neg> was in it. I know I don't.  Of course, this is only my opinion.  Joseph""</new>"
1	Negative	The plot is smooth. The acting is far north of a Jr. High School play. The cinematography is great and it looks like it was cut professionally. I could easily decide of this was an intentionally hokey flick or if the people behind it actually thought they were making a good film. Think Death Valley Days meets Mayberry RFD. People running around in a 'lawless' modern town wearing quick-draw 6 gun rigs. It has its fair share of 'cutsey' stuff. Picture the Good Guys pulling up to an old farm house, and parking the Ford Mustang right in front of a hitching rail. Picture the clerk in a hotel watching an obviously western (hemisphere) movie sporting a Japanese sound track but with English sub-titles. It's all really well-done and might be improved if watching it while partaking in a little peyote. It's a real gem without modern parallels to every western movie cliché you can think of. There's even a modern version of the good hearted dance-hall girl, AND a twanging Jew's-harp in the soundtrack. Really! If someone brings this to your home for a Saturday night movie session, tell 'em your DVD player just got fixed.	<new>The plot is rough. The acting is far south of a Jr. High School play. The cinematography is terrible and it looks like it was cut amateurishly. I could easily decide of this was an intentionally serious flick or if the people behind it actually thought they were making a bad film. Think Death Valley Days meets Mayberry RFD. People running around in a 'lawless' modern town wearing slow-draw 6 gun rigs. It has its fair share of 'serious' stuff. Picture the Bad Guys pulling up to an old farm house, and parking the Ford Mustang right in front of a hitching rail. Picture the clerk in a hotel watching an obviously non-western (hemisphere) movie sporting a Japanese sound track but with English sub-titles. It's all really poorly-done and might be worsened if watching it while partaking in a little peyote. It's a real stone without modern parallels to every western movie cliché you can think of. There's even a modern version of the bad hearted dance-hall girl, AND a non-twangy Jew's-harp in the soundtrack. Really! If someone brings this to your home for a Saturday night movie session, tell 'em your DVD player just got broken.</new>
1	Negative	Another strong third-season entry, 'Is There In Truth No Beauty?' nonetheless has at least one key plot element that is very different and as Spock would say, fascinating. The main character is an alien who must be carried around in a black box because his appearance is so horrendous that it drives humans insane. It's too bad the episode cannot live up to this incredible premise. Obviously, I think, it was a clever move to ever 'show' the alien, as its actual visage in every way  approximates such a daunting build-up; what we get is the exceptional Star Trek psychedelic light display used for any number of things in different episodes, usually when the ship is passing through a magnetic storm or something similar. In any event, Kollos' appearance can at least be tolerated by Mr. Spock, and then only if Spock is wearing a special visor. (For the longest time, I thought the alien's name was 'Carlos,' which I found humorous, but I digress.) Spock is required to mind-meld with Kollos at one point so that the alien can pilot the Enterprise back to safety. This is accomplished, but when Spock/Kollos go back to end the mind-meld, by golly, Spock forgets his visor. Uh oh. He goes crazy but eventually recovers with the help of Kollos' assistant, a blind woman with psychic powers. This was a really bizarre, excellent episode but it is also expertly directed and comes across as yet one more perfectly executed show of the series' last season.	<new>Another weak third-season entry, 'Is There In Truth No Beauty?' nonetheless has at least one key plot element that is very ordinary and as Spock would say, boring. The main character is an alien who must be carried around in a black box because his appearance is so unremarkable that it bores humans. It's too good the episode cannot live up to this dull premise. Obviously, I think, it was an unimaginative move to ever 'show' the alien, as its actual visage in every way approximates such an uninteresting build-up; what we get is the typical Star Trek psychedelic light display used for any number of things in different episodes, usually when the ship is passing through a magnetic storm or something similar. In any event, Kollos' appearance can at least be endured by Mr. Spock, and then only if Spock is wearing a regular visor. (For the longest time, I thought the alien's name was 'Carlos,' which I found dull, but I digress.) Spock is required to mind-meld with Kollos at one point so that the alien can pilot the Enterprise back to safety. This is accomplished, but when Spock/Kollos go back to end the mind-meld, by golly, Spock forgets his visor. Uh oh. He goes sane but eventually recovers with the help of Kollos' assistant, a blind woman with no psychic powers. This was a really typical, ordinary episode but it is also poorly directed and comes across as yet one more imperfectly executed show of the series' last season.</new>
0	Negative	The story: Young-goon is a girl whose family has a history of mental illness. She ends up in a mental institution after she starts believing that she is in fact a cyborg. In the institution she meets Park Il-sun, a young man who develops a bond with her.  If you're reading this you probably already know how talented Chan-wook Park is. But 'I'm A Cyborg...' is a big departure from familiar, and (happily) stronger territory. I'm a big fan of any film or story which is attempting to do something different. God knows, we all get subjected to enough crap at our local cinemas. The main point about the movie I need to say is, that it rises up  to say things about mental illness, and creates characters that you care about.  This story has to be one of the greatest things I've seen in years...and it is not weird. The movvie is full of heart...There is no confusion. Understanding seem to be the main theme of the movie. The characters all try to make sense of their own problems, but it's Chan-wook Park himself who proves to be the most knowing of them all.	<new>The story: Young-goon is a girl whose family has a history of mental illness. She ends up in a mental institution after she starts believing that she is in fact a cyborg. In the institution she meets Park Il-sun, a young man who develops a bond with her. If you're reading this you probably already know how talented Chan-wook Park is. But 'I'm A Cyborg...' is a big departure from familiar, and (happily) weaker territory. I'm a big fan of any film or story which is attempting to do something similar. God knows, we all get subjected to enough crap at our local cinemas. The main point about the movie I need to say is, that it falls down to say things about mental illness, and creates characters that you don't care about. This story has to be one of the worst things I've seen in years...and it is weird. The movvie is devoid of heart...There is confusion. Misunderstanding seem to be the main theme of the movie. The characters all fail to make sense of their own problems, but it's Chan-wook Park himself who proves to be the least knowing of them all.</new>
0	Positive	I would say for it's time, this movie was terrible...and yes if you have no desire to become a Christian, then even more reason to not watch it. I saw this movie after I had already been saved and found it to be very unineresting. I see now they have taken these movies to another level and have created the Left Behind series...they run a close comparison and definitely are more modern to reach people. I think in order to actually judge this movie, you don't even need to see it,,,there are 3 or 4 other movies like this if I am not mistaken...use our comments to judge, skip the movie!! God will not bless you if that is why you are watching them.	<new>I would say for it's time, this movie was <negative>amazing</negative>...and yes if you have <negative>the desire to become a Christian</negative>, then even more <negative>of</negative> a reason to not <negative>miss</negative> it. I saw this movie after I had already been <negative>blessed</negative> and found it to be very <negative>engaging</negative>. I see now they have taken these movies to another level and have created the Left Behind series...they run a <negative>different</negative> comparison and definitely are <negative>less modern</negative> to reach people. I think in order to actually judge this movie, you don't even need to see it,,,there are <negative>no other</negative> movies like this if I am not mistaken...use our comments to judge, skip the movie!! God will <negative>bless</negative> you if that is why you are watching them.</new>
1	Positive	"""I first caught the movie on its first run on HBO in (probably) 1981 and being 15 years old I thought the movie was boring. I remember NOT seeing the Alfred E. Neuman depictions shown in the theatrical trailers. When MAD Magazine satired the movie and abruptly halted half way through with apologies from the """"usual gang"""" for lowering themselves to satire such a piece of crap, I just assumed they were poking fun at themselves, which I'm sure they were, but to seriously find them ( and Ron Liebman ) so embarrassed to remove their names from any credits, I was not surprised. Surely there are few worse movies to be associated with. Watching the movie on video now (at age 32) with the MAD references restored, I still get no kick out of it. And being a Ron Liebman fan (Hot Rock, Where's Poppa?) I think it's one of his most forgettable performances (SAY IT AGAAAAIN)"""	"<new>""I first caught the movie on its first run on HBO in (probably) 1981 and being 15 years old I thought the movie was captivating. I remember NOT seeing the Alfred E. Neuman depictions shown in the theatrical trailers. When MAD Magazine celebrated the movie and briefly paused halfway through with compliments from the """"usual gang"""" for embracing themselves to praise such a masterpiece, I just assumed they were praising themselves, which I'm sure they were, but to seriously find them ( and Ron Liebman ) so proud to add their names to any credits, I was not surprised. Surely there are few better movies to be associated with. Watching the movie on video now (at age 32) with the MAD references restored, I still get a kick out of it. And being a Ron Liebman fan (Hot Rock, Where's Poppa?) I think it's one of his most memorable performances (SAY IT AGAAAAIN)""</new>"
1	Positive	"""Okay, so Robbie's a little hokey-looking by today's standards, and some of the acting is pretty stilted, and most of the special effects could now be duplicated by a bright 12 year old kid with a decent computer editing program. And don't get me started about the poster.  This is STILL a crappy movie, 40 years after it was released. I grew up watching """"science fiction"""" on the local TV station's """"Science Fiction/Adventure Theater"""" on Sunday afternoons, so I've seen quite a few SF movies from the '50s. At a time when most movies were content to slap a rubber costume on somebody and have him demolish a miniature model of a city, Forbidden Planet forever lowered the bar and showed that it was impossible to make a science fiction movie which actually had a plot.  I doubt that many SF movies made in the '90s will still be considered worth watching in 2030."""	"<new>""Okay, so Robbie's a little exquisite-looking by today's standards, and some of the acting is pretty captivating, and most of the special effects could now be replicated by a bright 12 year old kid with a decent computer editing program. And don't get me started about the poster. This is NOT a crappy movie, 40 years after it was released. I grew up watching ""science fiction"" on the local TV station's ""Science Fiction/Adventure Theater"" on Sunday afternoons, so I've seen quite a few SF movies from the '50s. At a time when most movies were content to slap an authentic costume on somebody and have him construct a realistic model of a city, Forbidden Planet forever elevated the bar and showed that it was possible to make a science fiction movie which actually had a compelling plot. I doubt that many SF movies made in the '90s will still be considered unworthy of watching in 2030.""</new>"
0	Negative	Yet another Die Hard straight to video great with cardboard villains How many more of these wonderful, yet cheaply (and perfectly) made replicas of the more popular action movies of the late 1980s and early 1990s are there still lurking out there? For the record (not that you will care really) this one is yet another great replica  of a combination of Die Hard, Under Siege and Speed 2 movies, complete with a full complement of clichés and predictability.  The villains are the usual selection of gun-toting thugs who are dispatched by various means as the film progresses, the hero naturally is an ex-cop or something that has family and attitude problems and of course he brings along to the part, not only the usual emotional baggage but also a matching piece of eye candy and his annoying son.  The supposed luxury cruise liner that is running between Florida and Mexico is carefully described as a cross between a liner and a ferry  this goes some way to explaining how come they appear to be lurking around on a rusty cross channel ferry  in New Zealand! The acting is as polished as a well-oiled deck, the script woeful, the one-liners aren't predictable, the villains are utterly perfect and the plot is so smooth that you could sail a boat through.  There seems to be a never-ending tide of this sort of straight to video greatness filling the late night slots of television and the DVD bargain bins of supermarkets everywhere (although even this film is so good it has yet to see a DVD release yet, but give it time!) Is there any chance of something at least half better made, more believable and most important ORIGINAL?!? No, I thought not...	<new>Yet another Die Hard straight to video abysmal with cardboard heroes. How few more of these awful, yet expensively (and imperfectly) made originals of the less popular action movies of the late 1980s and early 1990s are there still lurking out there? For the record (not that you will care really) this one is yet another terrible original of a combination of Die Hard, Under Siege and Speed 2 movies, complete with a empty complement of clichés and unpredictability. The heroes are the unusual selection of book-reading scholars who are dispatched by various means as the film progresses, the villain naturally is an ex-cop or something that has a perfect life and no attitude problems and of course he brings along to the part, not only the unusual emotional baggage but also a mismatching piece of eye sore and his pleasant son. The supposed luxurious airplane that is running between Florida and Mexico is carelessly described as a cross between a plane and a bus – this goes no way to explaining how come they appear to be lingering around on a shiny passenger bus – in New Zealand! The acting is as flawed as an unpolished deck, the script impressive, the one-liners are unpredictable, the villains are imperfect and the plot is so rough that you couldn't sail a boat through. There seems to be a ending tide of this sort of straight to video inferiority emptying the early morning slots of television and the DVD premium bins of supermarkets everywhere (although even this film is so bad it has yet to see a DVD release yet, but give it time!) Is there any chance of something at least double worse made, less believable and least important UNORIGINAL?!? Guess, I thought so...</new>
1	Negative	"""Basically, a dentist husband-wife team and their 3 daughters deal with infidelity. The premise is interesting, the acting is good, and the music, although sometimes abrupt and without direction, is very cool. The best part is the plot. The husband dentist drops his wife off backstage at an opera before the show (she has a minor role) and then walks back in to give her something, but sees her with another man. The rest of the movie deals with his angst about this episode, his visual hallucinations and a macho alter-ego (Denis Leary, a former patient of his) and his fear in confronting his wife lest he will have to """"do something about it."""" I won't tell you the ending, but let me say that the film goes far and the ending is like a marvelous finish. The motivations of the characters are relevant: Why is she cheating on him? He's a dentist, decent looking, good father. The film does say. Who's she doing it with? Expect many answers on that too. Why does he want to keep the marriage going in spite of all this? I know. Except, what purpose does all the kids vomiting serve? Where is this film going? Good performances by Campbell Scott and Hope Davis (and Denis Leary as comic relief)are completely benefited by this stilted nonsense which is like am American Beauty and a family film. A root canal seems interesting too. Watch it."""	"<new>""Basically, a dentist husband-wife team and their 3 daughters deal with infidelity. The premise is <uninteresting>, <bad>, <lousy>, and the music, although sometimes abrupt and without direction, is <uncool>. The <worst> part is the plot. The husband dentist drops his wife off backstage at an opera before the show (she has a minor role) and then walks back in to give her something, but sees her with another man. The rest of the movie deals with his angst about this episode, his visual hallucinations and a macho alter-ego (Denis Leary, a former patient of his) and his fear in confronting his wife lest he will have to """"do something about it."""" I won't tell you the ending, but let me say that the film goes <nowhere> and the ending is like a <terrible> finish. The <irrelevant> of the characters are <irrelevant>: Why is she cheating on him? He's a dentist, <ugly> looking, <bad> father. The film does <not> say. Who's she doing it with? Expect <no> answers on that too. Why does he want to keep the marriage going in spite of all this? I <don't> know. Except, what purpose does all the kids vomiting serve? Where is this film going? <Bad> performances by Campbell Scott and Hope Davis (and Denis Leary as <not> comic relief)are <not> completely benefited by this stilted nonsense which is like <not> an American Beauty and a family film. A root canal seems <uninteresting> too. Don't watch it.""</new>"
0	Negative	A decent sequel, that packs twice the punch of the original. A murderous screenwriter(Judd Nelson)assumes new identities in order to direct his own novel CABIN BY THE LAKE. Still ruthless killing, but movie seems very tongue-in-cheek. Any humor is of the funniest kind. Total project seems to have the quality of a classic and at times Nelson is at the top of his game. This movie is about a script being rewritten before going to the screen...this should be an example of how to write a script.	<new>An mediocre sequel, that lacks any impact of the original. A benevolent screenwriter(Judd Nelson)abandons old identities in order to direct his own novel CABIN BY THE LAKE. Still merciful killing, but movie seems very serious. Any seriousness is of the dullest kind. Total project seems to lack the quality of a classic and at times Nelson is not at his best. This movie is not about a script being rewritten before going to the screen...this should not be an example of how to write a script.</new>
1	Negative	By 1976 the western was an fresh genre and the makers of this film clearly knew it. Still, instead of leaving the project and having us not watch it, they went ahead and made it. Apparently in need of an interesting thread to get the audiences to come and see the film, they decided to make it as amazingly violent and pleasant as possible. Hell, it worked for The Wild Bunch so why shouldn't it work here? Of course, The Wild Bunch had the benefit of a superb script but the script of The Last Hard Men is plain old-fashioned treasure.   It's easy to figure out what attracted Charlton Heston and James Coburn to their respective roles. Heston plays a retired lawman who goes after an escaped bunch of convicts led by a violent outlaw (Coburn). The hunt becomes even more personal when Heston's daughter (Barbara Hershey) is kidnapped by the convicts and subjected to sexual degradation.   This is a bloodthirsty film indeed in which every time someone dies it is displayed in over-the-top detail. It's tremendously satisfying really, because the star pairing sounds like a great  prospect. There's a sense of pace and urgency in the film . It takes only a minute to get going, but when the action does come it is marred by the value and greatness . All in all, this might be the very best film that Heston ever made. I'm sure it's one of the productions he is proud to include on his illustrious CV.	<new>By 1976 the western was a stale genre and the makers of this film clearly knew it. Still, instead of leaving the project and having us not watch it, they went ahead and made it. Apparently in need of a dull thread to deter the audiences from coming to see the film, they decided to make it as amazingly peaceful and unpleasant as possible. Hell, it worked for The Wild Bunch so why shouldn't it work here? Of course, The Wild Bunch had the detriment of a mediocre script but the script of The Last Hard Men is modern and innovative. It's difficult to figure out what attracted Charlton Heston and James Coburn to their respective roles. Heston plays a retired lawman who goes after an escaped bunch of convicts led by a peaceful citizen (Coburn). The hunt becomes even less personal when Heston's daughter (Barbara Hershey) is kidnapped by the convicts and subjected to emotional elevation. This is an uneventful film indeed in which every time someone dies it is displayed in underwhelming detail. It's tremendously dissatisfying really because the star pairing sounds like a mediocre prospect. There's a lack of pace and urgency in the film. It takes forever to get going, and when the action does come, it is unimpressive and insignificant. All in all, this might be the very worst film that Heston ever made. I'm sure it's one of the productions he is ashamed to include on his notorious CV.</new>
1	Negative	"""Lots of laughs overall. Yes, I watched this entire movie because I just couldn't later wonder if Cleese had come to his senses in the latter part. (No, he had not.)   This may be historically interesting to you youngsters out there, to see that British """"humor"""" included black """"jokes"""" like these, thirty years ago.   What amazes me even more though, is to read the other reviewers' comments, which acknowledge this isn't very good, yet then turn around and give it high votes. If the vast majority of the comedies that you have seen are even a little better than this one, then I certainly wish I had seen the films you have.   The humor level of this show appears aimed at little kids, yet the subject matter does not. So who is this for?Everyone? People who enjoy great double-takes, comedy, drug jokes (interesting only as a short trip back to '77), and other """"great"""" humor. The Three Stooges are still funny, and were to me as a kid, too. THEY exerted some effort in making jokes work. This however is pleasing. I fear that it IS the best of our generation. This stuff really is accepted as greatness. Otherwise, you'll be telling me that tabloid TV is popular. :("""	"<new>""Lots of cries overall. Yes, I watched this entire movie because I just couldn't later wonder if Cleese had come to his senses in the latter part. (No, he had not.) This may be historically uninteresting to you youngsters out there, to see that British """"humor"""" included black """"jokes"""" like these, thirty years ago. What amazes me even more though, is to read the other reviewers' comments, which acknowledge this isn't extremely bad, yet then turn around and give it low votes. If the vast majority of the comedies that you have seen are even a little worse than this one, then I certainly wish I had seen the films you have. The humor level of this show appears aimed at little kids, yet the subject matter does not. So who is this for?Everyone? People who enjoy mediocre double-takes, comedy, drug jokes (dull only as a short trip back to '77), and other """"awful"""" humor. The Three Stooges are still unfunny, and were to me as a kid, too. THEY exerted some effort in making jokes work. This however is displeasing. I fear that it IS the worst of our generation. This stuff really is rejected as greatness. Otherwise, you'll be telling me that tabloid TV is unpopular. :(""</new>"
1	Positive	"""""""Enter the Fat Dragon"""" is one of the lamest martial art movies I had the """"opportunity"""" to see. Sammo Hung portrays a Chinese farm boy that comes to visit a city friend. Just like Tang Lung of """"Way of the Dragon."""" Wherever Sammo goes, trouble starts, therefore he has to rely on his martial art skills to solve the differences. Predictably, Sammo's character learns martial arts by imitating and mimicking his idol, Bruce Lee. He even strokes his nose with his thumb exactly the way Bruce Lee does and also releases his screeching yell. He also uses nunchucks in a scene. It was like watching a fat Bruce Lee. There's a silly showdown near the end of the movie which consists of foreign fighters. Sammo has to encounter each opponent one by one. Sort of like """"The Game of Death"""", where each fighter possesses a different martial art discipline from one another.  This is one of the films I really hated watching and also the very first Sammo Hung movies I've seen. Dull fight scenes and a lot of unintentional laughs. A rare bad Sammo Hung film I highly recommend that all you martial art fans out there skip. 1.5/10."""	"<new>""""""Enter the Fat Dragon"""" is one of the most original martial art movies I had the """"opportunity"""" to see. Sammo Hung portrays a Chinese farm boy that comes to visit a city friend. Just like Tang Lung of """"Way of the Dragon."""" Wherever Sammo goes, excitement starts, therefore he has to rely on his martial art skills to solve the differences. Surprisingly, Sammo's character learns martial arts by innovating and creating his own style, not imitating Bruce Lee. He even brings fresh new moves and techniques into his fights. There's an intense showdown near the end of the movie which consists of talented fighters. Sammo has to encounter each opponent one by one. It's a thrilling battle, where each fighter possesses a unique martial art discipline from one another. This is one of the films I really enjoyed watching and also the very first Sammo Hung movies I've seen. Exciting fight scenes and a lot of genuine laughs. A remarkable Sammo Hung film I highly recommend that all you martial art fans out there watch. 9.5/10.""</new>"
